,popu,area,year
192,103720,全国,1970
193,5184,北 海 道,1970
194,1428,青 森 県,1970
195,1371,岩 手 県,1970
196,1819,宮 城 県,1970
197,1241,秋 田 県,1970
198,1226,山 形 県,1970
199,1946,福 島 県,1970
200,2144,茨 城 県,1970
201,1580,栃 木 県,1970
202,1659,群 馬 県,1970
203,3866,埼 玉 県,1970
204,3367,千 葉 県,1970
205,11408,東 京 都,1970
206,5472,神奈川県,1970
207,2361,新 潟 県,1970
208,1030,富 山 県,1970
209,1002,石 川 県,1970
210,744,福 井 県,1970
211,762,山 梨 県,1970
212,1957,長 野 県,1970
213,1759,岐 阜 県,1970
214,3090,静 岡 県,1970
215,5386,愛 知 県,1970
216,1543,三 重 県,1970
217,890,滋 賀 県,1970
218,2250,京 都 府,1970
219,7620,大 阪 府,1970
220,4668,兵 庫 県,1970
221,930,奈 良 県,1970
222,1043,和歌山県,1970
223,569,鳥 取 県,1970
224,774,島 根 県,1970
225,1707,岡 山 県,1970
226,2436,広 島 県,1970
227,1511,山 口 県,1970
228,791,徳 島 県,1970
229,908,香 川 県,1970
230,1418,愛 媛 県,1970
231,787,高 知 県,1970
232,4027,福 岡 県,1970
233,838,佐 賀 県,1970
234,1570,長 崎 県,1970
235,1700,熊 本 県,1970
236,1156,大 分 県,1970
237,1051,宮 崎 県,1970
238,1729,鹿児島県,1970
239,　　 －,沖 縄 県,1970
240,105145,全国,1971
241,5186,北 海 道,1971
242,1429,青 森 県,1971
243,1366,岩 手 県,1971
244,1839,宮 城 県,1971
245,1234,秋 田 県,1971
246,1219,山 形 県,1971
247,1942,福 島 県,1971
248,2180,茨 城 県,1971
249,1605,栃 木 県,1971
250,1676,群 馬 県,1971
251,4062,埼 玉 県,1971
252,3524,千 葉 県,1971
253,11520,東 京 都,1971
254,5712,神奈川県,1971
255,2357,新 潟 県,1971
256,1036,富 山 県,1971
257,1012,石 川 県,1971
258,748,福 井 県,1971
259,765,山 梨 県,1971
260,1966,長 野 県,1971
261,1780,岐 阜 県,1971
262,3137,静 岡 県,1971
263,5527,愛 知 県,1971
264,1558,三 重 県,1971
265,909,滋 賀 県,1971
266,2281,京 都 府,1971
267,7805,大 阪 府,1971
268,4740,兵 庫 県,1971
269,959,奈 良 県,1971
270,1047,和歌山県,1971
271,568,鳥 取 県,1971
272,767,島 根 県,1971
273,1732,岡 山 県,1971
274,2480,広 島 県,1971
275,1515,山 口 県,1971
276,791,徳 島 県,1971
277,916,香 川 県,1971
278,1423,愛 媛 県,1971
279,787,高 知 県,1971
280,4056,福 岡 県,1971
281,831,佐 賀 県,1971
282,1560,長 崎 県,1971
283,1681,熊 本 県,1971
284,1163,大 分 県,1971
285,1046,宮 崎 県,1971
286,1710,鹿児島県,1971
287,　　 －,沖 縄 県,1971
288,107595,全国,1972
289,5205,北 海 道,1972
290,1436,青 森 県,1972
291,1366,岩 手 県,1972
292,1861,宮 城 県,1972
293,1230,秋 田 県,1972
294,1215,山 形 県,1972
295,1943,福 島 県,1972
296,2210,茨 城 県,1972
297,1627,栃 木 県,1972
298,1695,群 馬 県,1972
299,4266,埼 玉 県,1972
300,3677,千 葉 県,1972
301,11611,東 京 都,1972
302,5926,神奈川県,1972
303,2358,新 潟 県,1972
304,1044,富 山 県,1972
305,1024,石 川 県,1972
306,753,福 井 県,1972
307,769,山 梨 県,1972
308,1977,長 野 県,1972
309,1803,岐 阜 県,1972
310,3180,静 岡 県,1972
311,5645,愛 知 県,1972
312,1575,三 重 県,1972
313,925,滋 賀 県,1972
314,2323,京 都 府,1972
315,7962,大 阪 府,1972
316,4813,兵 庫 県,1972
317,993,奈 良 県,1972
318,1054,和歌山県,1972
319,570,鳥 取 県,1972
320,764,島 根 県,1972
321,1753,岡 山 県,1972
322,2529,広 島 県,1972
323,1523,山 口 県,1972
324,794,徳 島 県,1972
325,926,香 川 県,1972
326,1431,愛 媛 県,1972
327,792,高 知 県,1972
328,4100,福 岡 県,1972
329,827,佐 賀 県,1972
330,1555,長 崎 県,1972
331,1673,熊 本 県,1972
332,1167,大 分 県,1972
333,1049,宮 崎 県,1972
334,1705,鹿児島県,1972
335,970,沖 縄 県,1972
336,109104,全国,1973
337,5234,北 海 道,1973
338,1444,青 森 県,1973
339,1369,岩 手 県,1973
340,1891,宮 城 県,1973
341,1227,秋 田 県,1973
342,1214,山 形 県,1973
343,1949,福 島 県,1973
344,2251,茨 城 県,1973
345,1653,栃 木 県,1973
346,1718,群 馬 県,1973
347,4475,埼 玉 県,1973
348,3844,千 葉 県,1973
349,11639,東 京 都,1973
350,6107,神奈川県,1973
351,2365,新 潟 県,1973
352,1053,富 山 県,1973
353,1040,石 川 県,1973
354,761,福 井 県,1973
355,773,山 梨 県,1973
356,1991,長 野 県,1973
357,1826,岐 阜 県,1973
358,3230,静 岡 県,1973
359,5757,愛 知 県,1973
360,1592,三 重 県,1973
361,944,滋 賀 県,1973
362,2364,京 都 府,1973
363,8083,大 阪 府,1973
364,4880,兵 庫 県,1973
365,1029,奈 良 県,1973
366,1060,和歌山県,1973
367,573,鳥 取 県,1973
368,766,島 根 県,1973
369,1772,岡 山 県,1973
370,2577,広 島 県,1973
371,1532,山 口 県,1973
372,797,徳 島 県,1973
373,938,香 川 県,1973
374,1440,愛 媛 県,1973
375,798,高 知 県,1973
376,4156,福 岡 県,1973
377,827,佐 賀 県,1973
378,1554,長 崎 県,1973
379,1681,熊 本 県,1973
380,1171,大 分 県,1973
381,1057,宮 崎 県,1973
382,1708,鹿児島県,1973
383,995,沖 縄 県,1973
384,110573,全国,1974
385,5283,北 海 道,1974
386,1454,青 森 県,1974
387,1375,岩 手 県,1974
388,1924,宮 城 県,1974
389,1228,秋 田 県,1974
390,1216,山 形 県,1974
391,1960,福 島 県,1974
392,2298,茨 城 県,1974
393,1678,栃 木 県,1974
394,1740,群 馬 県,1974
395,4658,埼 玉 県,1974
396,4007,千 葉 県,1974
397,11647,東 京 都,1974
398,6264,神奈川県,1974
399,2377,新 潟 県,1974
400,1063,富 山 県,1974
401,1056,石 川 県,1974
402,768,福 井 県,1974
403,778,山 梨 県,1974
404,2006,長 野 県,1974
405,1848,岐 阜 県,1974
406,3273,静 岡 県,1974
407,5851,愛 知 県,1974
408,1610,三 重 県,1974
409,966,滋 賀 県,1974
410,2396,京 都 府,1974
411,8190,大 阪 府,1974
412,4941,兵 庫 県,1974
413,1056,奈 良 県,1974
414,1066,和歌山県,1974
415,578,鳥 取 県,1974
416,767,島 根 県,1974
417,1795,岡 山 県,1974
418,2615,広 島 県,1974
419,1542,山 口 県,1974
420,801,徳 島 県,1974
421,951,香 川 県,1974
422,1452,愛 媛 県,1974
423,802,高 知 県,1974
424,4215,福 岡 県,1974
425,832,佐 賀 県,1974
426,1562,長 崎 県,1974
427,1697,熊 本 県,1974
428,1179,大 分 県,1974
429,1072,宮 崎 県,1974
430,1714,鹿児島県,1974
431,1021,沖 縄 県,1974
432,111940,全国,1975
433,5338,北 海 道,1975
434,1469,青 森 県,1975
435,1386,岩 手 県,1975
436,1955,宮 城 県,1975
437,1232,秋 田 県,1975
438,1220,山 形 県,1975
439,1971,福 島 県,1975
440,2342,茨 城 県,1975
441,1698,栃 木 県,1975
442,1756,群 馬 県,1975
443,4821,埼 玉 県,1975
444,4149,千 葉 県,1975
445,11674,東 京 都,1975
446,6398,神奈川県,1975
447,2392,新 潟 県,1975
448,1071,富 山 県,1975
449,1070,石 川 県,1975
450,774,福 井 県,1975
451,783,山 梨 県,1975
452,2018,長 野 県,1975
453,1868,岐 阜 県,1975
454,3309,静 岡 県,1975
455,5924,愛 知 県,1975
456,1626,三 重 県,1975
457,986,滋 賀 県,1975
458,2425,京 都 府,1975
459,8279,大 阪 府,1975
460,4992,兵 庫 県,1975
461,1077,奈 良 県,1975
462,1072,和歌山県,1975
463,581,鳥 取 県,1975
464,769,島 根 県,1975
465,1814,岡 山 県,1975
466,2646,広 島 県,1975
467,1555,山 口 県,1975
468,805,徳 島 県,1975
469,961,香 川 県,1975
470,1465,愛 媛 県,1975
471,808,高 知 県,1975
472,4293,福 岡 県,1975
473,838,佐 賀 県,1975
474,1572,長 崎 県,1975
475,1715,熊 本 県,1975
476,1190,大 分 県,1975
477,1085,宮 崎 県,1975
478,1724,鹿児島県,1975
479,1043,沖 縄 県,1975
480,113094,全国,1976
481,5395,北 海 道,1976
482,1484,青 森 県,1976
483,1395,岩 手 県,1976
484,1984,宮 城 県,1976
485,1239,秋 田 県,1976
486,1227,山 形 県,1976
487,1984,福 島 県,1976
488,2380,茨 城 県,1976
489,1717,栃 木 県,1976
490,1778,群 馬 県,1976
491,4964,埼 玉 県,1976
492,4267,千 葉 県,1976
493,11674,東 京 都,1976
494,6510,神奈川県,1976
495,2406,新 潟 県,1976
496,1079,富 山 県,1976
497,1082,石 川 県,1976
498,779,福 井 県,1976
499,787,山 梨 県,1976
500,2033,長 野 県,1976
501,1889,岐 阜 県,1976
502,3341,静 岡 県,1976
503,5988,愛 知 県,1976
504,1638,三 重 県,1976
505,1006,滋 賀 県,1976
506,2452,京 都 府,1976
507,8330,大 阪 府,1976
508,5029,兵 庫 県,1976
509,1098,奈 良 県,1976
510,1077,和歌山県,1976
511,586,鳥 取 県,1976
512,771,島 根 県,1976
513,1829,岡 山 県,1976
514,2670,広 島 県,1976
515,1564,山 口 県,1976
516,809,徳 島 県,1976
517,970,香 川 県,1976
518,1476,愛 媛 県,1976
519,814,高 知 県,1976
520,4353,福 岡 県,1976
521,842,佐 賀 県,1976
522,1576,長 崎 県,1976
523,1731,熊 本 県,1976
524,1199,大 分 県,1976
525,1100,宮 崎 県,1976
526,1735,鹿児島県,1976
527,1058,沖 縄 県,1976
528,114165,全国,1977
529,5443,北 海 道,1977
530,1496,青 森 県,1977
531,1401,岩 手 県,1977
532,2008,宮 城 県,1977
533,1245,秋 田 県,1977
534,1234,山 形 県,1977
535,1998,福 島 県,1977
536,2417,茨 城 県,1977
537,1736,栃 木 県,1977
538,1799,群 馬 県,1977
539,5091,埼 玉 県,1977
540,4382,千 葉 県,1977
